Accession;Description;Coverage_%;Peptides;PSMs;Unique_Peptides;MW_kDa;Rich_1;Rich_2;Rich_3;Min_1;Min_2;Min_3
P15790;Casein kinase II subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKA1 PE=1 SV=1;20;9;13;9;44,6;0,903;0,895;0,683;0,856;0,779;0,822
P32445;Single-stranded DNA-binding protein RIM1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIM1 PE=1 SV=1;51;6;13;6;15,4;0,921;0,969;0,802;0,831;1,094;1,355
Q06705;Phosphatidylinositol transfer protein CSR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSR1 PE=1 SV=1;23;9;13;9;47,4;1,161;1,18;0,875;1,017;0,924;0,673
P40340;Tat-binding homolog 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YTA7 PE=1 SV=2;9;13;13;13;157,3;0,902;0,861;0,606;0,844;0,755;0,511
Q12341;Histone acetyltransferase type B catalytic subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAT1 PE=1 SV=1;27;10;13;10;43,8;1,216;1,242;1,036;1,099;0,951;0,797
P52488;Ubiquitin-activating enzyme E1-like OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBA2 PE=1 SV=1;15;9;13;9;71,2;0,698;0,688;0,505;0,678;0,556;0,455
P38786;Ribonuclease P/MRP protein subunit RPP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP1 PE=1 SV=1;37;9;13;9;32,2;0,941;0,966;0,957;0,892;0,791;0,651
Q12125;Golgi to ER traffic protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GET4 PE=1 SV=1;26;8;13;8;36,3;0,69;0,671;0,554;0,623;0,511;0,363
P39531;Recyclin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCY1 PE=1 SV=4;12;11;13;11;97,4;0,762;0,749;0,519;0,71;0,58;0,333
Q05785;Epsin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENT2 PE=1 SV=1;15;10;13;10;71,8;0,685;0,685;0,625;0,593;0,52;0,416
Q04371;Protein-glutamate O-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR027W PE=1 SV=1;22;10;13;10;54,1;0,726;0,669;0,67;0,912;0,836;0,815
P14922;General transcriptional corepressor CYC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYC8 PE=1 SV=2;13;10;13;10;107,1;0,699;0,676;0,566;0,642;0,529;0,446
P0CT04;Protease B inhibitor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBI2 PE=1 SV=1;59;6;13;6;8,6;0,445;0,455;0,445;0,303;0,393;0,417
Q08773;ISWI chromatin-remodeling complex ATPase ISW2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISW2 PE=1 SV=1;9;11;13;10;130,2;0,228;0,228;0,247;0,216;0,209;0,199
Q08723;26S proteasome regulatory subunit RPN8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN8 PE=1 SV=3;29;9;13;9;38,3;0,536;0,531;0,248;0,436;0,313;0,12
P54070;Mannosyltransferase KTR6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR6 PE=1 SV=1;24;11;13;11;52,1;1,234;1,226;0,827;1,296;1,069;0,503
Q08601;Metacaspase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCA1 PE=1 SV=2;14;6;13;6;48;0,732;0,735;0,771;0,609;0,651;0,625
P35180;Mitochondrial import receptor subunit TOM20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM20 PE=1 SV=1;32;6;13;6;20,3;1,571;1,578;1,201;1,388;1,083;0,729
P32451;Biotin synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BIO2 PE=1 SV=2;22;8;13;8;41,9;0,437;0,448;0,479;1,258;1,21;1,068
P39010;Palmitoyltransferase AKR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AKR1 PE=1 SV=1;13;9;13;9;85,8;0,907;0,923;0,707;0,887;0,784;0,522
P32598;Serine/threonine-protein phosphatase PP1-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLC7 PE=1 SV=1;30;8;13;7;35,9;1,068;0,971;0,803;1,084;0,927;0,8
P03871;Partitioning protein REP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REP1 PE=1 SV=1;23;8;13;8;43,2;0,616;0,637;0,461;0,527;0,424;0,318
Q04991;Protein FMP42 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP42 PE=1 SV=1;19;10;13;10;56,1;0,716;0,732;0,554;0,826;0,691;0,38
P33311;ATP-dependent permease MDL2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDL2 PE=1 SV=3;14;10;13;9;85,1;1,149;1,112;1,142;1,123;1,121;1,024
Q12149;Exosome complex exonuclease RRP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP6 PE=1 SV=1;15;10;13;10;84;0,45;0,45;0,366;0,42;0,34;0,262
Q07623;Nucleolar protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP6 PE=1 SV=1;28;8;13;8;25,2;1,323;1,382;1,991;1,019;1,024;1,12
P43603;LAS seventeen-binding protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSB3 PE=1 SV=3;15;8;13;5;49,3;0,774;0,82;0,793;0,707;0,799;0,665
P12904;5'-AMP-activated protein kinase subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF4 PE=1 SV=1;31;11;13;11;36,4;1,028;1,041;0,583;0,911;0,724;0,394
P40506;Phosphopantothenate--cysteine ligase CAB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAB2 PE=1 SV=2;19;7;13;7;41,8;0,992;1,021;0,695;0,881;0,785;0,575
P10962;Protein MAK16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAK16 PE=1 SV=2;22;6;13;6;35,7;1,001;1,027;0,445;0,806;0,641;0,181
P32908;Structural maintenance of chromosomes protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SMC1 PE=1 SV=1;8;10;13;10;141,2;0,865;0,902;0,803;0,761;0,755;0,76
P00427;Cytochrome c oxidase subunit 6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX6 PE=1 SV=1;24;5;13;5;17,3;0,343;0,315;0,246;0,328;0,275;0,202
P00937;Multifunctional tryptophan biosynthesis protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP3 PE=1 SV=2;19;11;13;11;53,5;0,78;0,825;0,617;1,019;0,916;0,77
P36047;Protein phosphatase 1 regulatory subunit SDS22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDS22 PE=1 SV=1;20;7;13;7;38,9;0,861;0,912;0,83;0,708;0,692;0,805
P38755;Oxysterol-binding protein homolog 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OSH7 PE=1 SV=1;26;11;13;9;49,8;1,66;1,621;1,303;1,503;1,796;1,829
P21375;Fumarate reductase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OSM1 PE=1 SV=3;20;9;13;9;55;0,691;0,701;0,679;0,646;0,553;0,473
P32179;3'(2'),5'-bisphosphate nucleotidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET22 PE=1 SV=1;23;9;13;9;39,1;0,721;0,688;0,618;2,125;1,796;1,695
P38199;Heterogeneous nuclear rnp K-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEK2 PE=1 SV=1;25;10;13;10;41,7;1,789;1,831;1,359;1,652;1,447;0,905
P38771;Ribosome-recycling factor, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRF1 PE=1 SV=1;32;7;13;7;26,4;0,843;0,891;0,685;0,646;0,597;0,551
P40581;Glutathione peroxidase-like peroxiredoxin HYR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HYR1 PE=1 SV=1;35;8;13;6;18,6;0,378;0,375;0,246;0,329;0,258;0,191
P05986;cAMP-dependent protein kinase type 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPK3 PE=1 SV=2;12;6;13;1;45,9;1,304;1,319;1,595;1,255;1,254;1,193
Q04958;Lysophospholipase NTE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NTE1 PE=1 SV=1;6;11;13;11;187;0,802;0,796;0,836;0,701;0,701;0,644
P38719;ATP-dependent RNA helicase DBP8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP8 PE=1 SV=1;19;9;13;9;47,8;1,356;1,369;1,638;1,261;1,346;1,47
P11325;Leucine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAM2 PE=1 SV=1;14;13;13;13;101,9;0,758;0,8;0,876;0,709;0,665;0,626
P32790;Actin cytoskeleton-regulatory complex protein SLA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLA1 PE=1 SV=1;9;11;13;11;135,8;1,143;1,249;1,073;0,915;1,317;1,464
P54860;E4 ubiquitin-protein ligase UFD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UFD2 PE=1 SV=3;12;11;13;11;109,8;0,667;0,672;0,465;0,629;0,51;0,264
P27810;Alpha-1,2 mannosyltransferase KTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR1 PE=1 SV=1;24;9;13;9;46;0,751;0,78;0,526;0,699;0,573;0,309
P47031;Mitochondrial outer membrane protein IML2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IML2 PE=1 SV=1;19;12;13;12;82,5;0,473;0,484;0,398;0,5;0,451;0,332
P53959;Conserved oligomeric Golgi complex subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COG6 PE=1 SV=1;11;10;13;10;96,9;1,133;1,108;0,97;0,964;0,899;0,778
P53759;tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUS1 PE=1 SV=1;27;10;13;10;48,1;0,9;0,879;0,809;0,884;0,744;0,586
P52917;Vacuolar protein sorting-associated protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS4 PE=1 SV=1;24;11;13;11;48,1;1,12;1,107;0,857;1,125;1,023;0,845
P32331;Carrier protein YMC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMC1 PE=3 SV=2;30;8;13;8;33,4;0,64;0,673;0,653;0,83;0,739;0,626
P25719;Peptidyl-prolyl cis-trans isomerase C, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPR3 PE=1 SV=1;51;8;13;7;19,9;1,495;1,463;1,704;1,305;1,719;2,594
P53731;Actin-related protein 2/3 complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC35 PE=1 SV=1;19;7;13;7;39,5;1,167;1,082;1,141;1,223;1,049;1,088
P53299;Mitochondrial import inner membrane translocase subunit TIM13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM13 PE=1 SV=1;62;7;13;7;11,3;1,003;1,044;0,921;0,788;1,007;1,401
P32340;Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDI1 PE=1 SV=1;17;9;13;9;57,2;0,977;1,006;0,901;0,899;1,126;1,354
Q08818;Meiotic sister-chromatid recombination protein 6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSC6 PE=1 SV=1;19;11;13;11;79,9;0,623;0,623;0,492;0,578;0,485;0,394
Q06523;Uncharacterized protein YPR148C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR148C PE=1 SV=1;29;9;13;9;49,2;2,19;2,232;1,637;1,611;1,922;2,172
P27929;37S ribosomal protein NAM9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAM9 PE=1 SV=2;16;8;13;8;56,3;0,515;0,504;0,489;0,453;0,404;0,356
P15992;Heat shock protein 26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP26 PE=1 SV=3;35;7;12;7;23,9;0,76;0,714;1,073;1,101;1,567;4,489
Q12040;Broad-specificity phosphatase YOR283W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOR283W PE=1 SV=1;47;10;12;10;26,2;1,703;1,914;1,52;1,767;1,956;1,994
P52489;Pyruvate kinase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PYK2 PE=1 SV=1;9;5;12;3;55,2;0,976;1,147;0,851;0,963;0,966;0,893
P15700;Uridylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA6 PE=1 SV=1;26;5;12;5;22,9;0,876;0,822;1,007;0,882;0,82;1,063
P32629;Mannan polymerase II complex ANP1 subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ANP1 PE=1 SV=3;17;8;12;8;58,1;0,86;0,875;0,721;0,835;0,801;0,533
P36139;Protein PET10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET10 PE=1 SV=3;16;4;12;4;31,2;0,297;0,289;0,229;0,347;0,299;0,227
P38795;Glutamine-dependent NAD(+) synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QNS1 PE=1 SV=1;18;10;12;10;80,6;1,044;1,022;0,75;1,045;0,899;0,722
Q12518;Epsin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENT1 PE=1 SV=1;18;10;12;10;52,3;1,301;1,318;0,763;1,13;0,914;0,449
P53326;Uncharacterized protein YGR266W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR266W PE=1 SV=1;11;10;12;10;81,1;0,721;0,692;0,551;0,678;0,566;0,363
P23292;Casein kinase I homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCK2 PE=1 SV=1;14;8;12;6;62;0,753;0,771;0,597;0,735;0,632;0,485
P53163;54S ribosomal protein L12, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNP1 PE=1 SV=1;27;7;12;7;20,6;0,668;0,599;0,508;0,505;0,585;0,69
Q06488;Chromatin structure-remodeling complex subunit RSC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSC2 PE=1 SV=1;11;9;12;9;102,2;0,762;0,769;0,679;0,741;0,684;0,64
P09959;Regulatory protein SWI6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWI6 PE=1 SV=1;13;11;12;11;90,5;0,987;0,997;0,502;1,009;0,892;0,406
P08678;Adenylate cyclase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYR1 PE=1 SV=2;5;10;12;10;227,7;0,87;0,773;0,657;0,78;0,667;0,552
P47119;Inosine triphosphate pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAM1 PE=1 SV=1;38;7;12;7;22,1;1,471;1,597;0,864;1,412;1,042;0,7
P46675;Protein STU2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STU2 PE=1 SV=1;7;7;12;7;100,9;1,046;1,07;0,901;0,945;0,903;0,806
Q03028;Mitochondrial 2-oxodicarboxylate carrier 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ODC1 PE=1 SV=1;23;8;12;8;34,2;0,405;0,41;0,383;0,289;0,267;0,212
Q06682;UBX domain-containing protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBX5 PE=1 SV=1;21;10;12;10;56,7;0,753;0,715;0,732;0,647;0,562;0,47
Q03496;tRNA (cytidine(32)-2'-O)-methyltransferase non-catalytic subunit TRM732 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM732 PE=1 SV=1;7;11;12;9;163,5;1,126;1,126;0,808;0,989;0,799;0,477
Q02196;Adenylyl-sulfate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET14 PE=1 SV=1;29;7;12;7;23;0,038;0,071;0,076;1,851;1,83;2,238
Q06668;Methyltransferase OMS1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OMS1 PE=1 SV=1;16;8;12;8;55,6;1,111;1,167;1,043;0,779;0,731;0,865
O13563;26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN13 PE=1 SV=1;28;5;12;5;17,9;1,122;1,167;0,836;0,957;0,88;0,497
Q08179;Mitochondrial distribution and morphology protein 38 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDM38 PE=1 SV=1;16;8;12;8;65;0,714;0,714;0,471;0,798;0,642;0,304
P43619;Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNA6 PE=1 SV=1;23;9;12;9;32,3;0,348;0,347;0,357;0,376;0,344;0,254
Q06689;Cell membrane protein YLR413W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR413W PE=1 SV=1;8;6;12;6;72,7;2,097;2,086;0,942;1,345;1,029;0,315
P20435;DNA-directed RNA polymerases I, II, and III subunit RPABC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO26 PE=1 SV=1;43;5;12;5;17,9;1,47;1,606;1,309;1,399;1,43;1,353
P13298;Orotate phosphoribosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA5 PE=1 SV=2;31;7;12;7;24,6;1,104;1,22;0,734;0,989;0,746;0,447
P23585;High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1;10;6;12;5;59,8;0,531;0,526;0,407;0,34;0,31;0,172
Q08144;t-SNARE affecting a late Golgi compartment protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TLG2 PE=1 SV=1;22;9;12;9;45,8;0,708;0,707;0,308;0,615;0,46;0,169
Q03124;Chromatin structure-remodeling complex subunit RSC9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSC9 PE=1 SV=1;17;9;12;9;65,2;0,961;0,953;0,882;0,976;0,865;0,748
P36523;54S ribosomal protein L15, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL15 PE=1 SV=3;32;8;12;8;28,2;1,058;1,118;1,056;0,98;0,908;0,865
Q08444;20S-pre-rRNA D-site endonuclease NOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOB1 PE=1 SV=1;21;10;12;10;51,7;1,439;1,451;1,772;1,273;1,304;1,12
P15454;Guanylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUK1 PE=1 SV=2;42;9;12;9;20,6;1,508;1,526;1,237;1,413;1,884;2,542
Q12196;Serine/threonine-protein kinase RIO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIO1 PE=1 SV=1;18;9;12;9;56,1;1,43;1,299;1,217;1,071;0,991;0,874
P38777;Family of serine hydrolases 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FSH1 PE=1 SV=1;26;6;12;6;27,3;1,974;2,032;1,443;1,521;1,91;2,162
P40032;Prolyl 3,4-dihydroxylase TPA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPA1 PE=1 SV=1;13;8;12;8;74;1,066;1,095;1,018;1,063;1,017;1,026
P25296;Calcineurin subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CNB1 PE=1 SV=3;46;7;12;7;19,6;0,841;0,823;0,511;0,761;0,623;0,313
P48526;Isoleucine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISM1 PE=1 SV=2;10;9;12;9;115,7;0,777;0,834;0,562;0,712;0,587;0,36
P29496;Minichromosome maintenance protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM5 PE=1 SV=1;12;10;12;9;86,4;1,053;1,034;0,894;1,065;0,969;0,904
P04819;DNA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC9 PE=1 SV=2;13;9;12;9;84,8;0,888;0,881;0,803;0,738;0,803;0,906
P40339;Replication factor C subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFC4 PE=1 SV=1;28;9;12;9;36,1;1,152;1,13;1,079;1,014;1,022;1,08
P32771;S-(hydroxymethyl)glutathione dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFA1 PE=1 SV=1;18;8;12;8;41;1,197;1,298;1,08;0,868;1,021;1,134
Q06494;Putative pyridoxal reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR127W PE=1 SV=1;24;9;12;9;38,6;0,821;0,875;0,886;0,961;0,885;0,905
P32347;Uroporphyrinogen decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEM12 PE=1 SV=1;28;10;12;10;41,3;0,887;0,872;0,627;0,728;0,649;0,495
P05749;60S ribosomal protein L22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL22A PE=1 SV=3;45;4;12;2;13,7;1,987;1,885;1,431;1,801;1,493;0,918
P06245;cAMP-dependent protein kinase type 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPK2 PE=1 SV=2;10;5;12;1;44,2;0,393;0,392;0,33;0,373;0,325;0,217
P43638;MAP-homologous protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MHP1 PE=1 SV=1;8;10;12;10;155,1;0,73;0,788;0,67;0,703;0,674;0,529
P32502;Translation initiation factor eIF-2B subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD7 PE=1 SV=1;22;9;12;9;42,5;0,877;0,896;0,666;0,777;0,703;0,519
P35723;Endoplasmic reticulum transmembrane protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YET1 PE=1 SV=2;40;8;12;8;23,4;1,139;1,233;0,891;1,036;0,857;0,47
P47084;MIOREX complex component 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRX12 PE=1 SV=2;17;9;12;9;59,7;0,938;0,798;0,617;0,832;0,675;0,432
P53829;Protein CAF40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAF40 PE=1 SV=1;18;7;12;7;41,1;0,581;0,571;0,35;0,577;0,43;0,191
P32266;Dynamin-like GTPase MGM1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MGM1 PE=1 SV=3;9;9;12;8;99,1;0,901;0,907;0,818;0,791;0,765;0,834
Q12117;Protein MRH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRH1 PE=1 SV=1;16;5;12;1;36,2;1,799;1,803;1,369;2,071;1,665;0,771
P39535;Low-affinity phosphate transporter PHO90 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO90 PE=1 SV=1;11;10;12;9;97,6;1,17;1,111;0,872;1,173;1,224;1,05
P47122;GPN-loop GTPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPA3 PE=1 SV=1;19;8;12;8;43,2;1,931;1,999;1,171;1,518;1,531;0,918
P53140;Protein RMD9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RMD9 PE=1 SV=1;18;10;12;10;74,5;0,854;0,803;0,518;0,706;0,624;0,43
Q12009;tRNA (guanine-N(7)-)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM8 PE=1 SV=1;25;9;12;9;33,4;0,982;1,011;0,961;0,832;0,841;0,818
P40457;Protein MLP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MLP2 PE=1 SV=1;5;10;12;10;195;0,645;0,634;0,496;0,613;0,508;0,368
Q12024;Ribosome biogenesis protein YTM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YTM1 PE=1 SV=1;20;8;12;8;51,3;1,158;1,064;0,976;0,982;1,065;1,182
Q12207;Non-classical export protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCE102 PE=1 SV=1;18;3;12;3;19;0,322;0,294;0,258;0,396;0,315;0,142
P35177;Transcriptional activator SPT7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT7 PE=1 SV=1;8;8;12;8;152,5;0,753;0,762;0,585;0,722;0,624;0,475
P32335;Protein MSS51, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSS51 PE=1 SV=2;26;11;12;11;50,8;0,656;0,697;0,703;0,56;0,597;0,709
P53734;ATP-dependent RNA helicase DBP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP6 PE=1 SV=1;12;7;12;7;70,3;1,021;1,007;0,879;0,929;0,809;0,602
P33775;Dolichyl-phosphate-mannose--protein mannosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMT1 PE=1 SV=1;9;6;12;6;92,6;0,899;0,905;0,737;0,888;0,776;0,494
P39106;Alpha-1,3-mannosyltransferase MNN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNN1 PE=1 SV=1;14;11;12;11;88,5;0,885;0,889;0,861;0,859;0,842;0,876
P25626;54S ribosomal protein IMG1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMG1 PE=1 SV=1;38;8;12;8;19,4;0,596;0,61;0,733;0,544;0,508;0,513
P48234;Ribosome biogenesis protein ENP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENP2 PE=1 SV=2;15;10;12;10;81,7;1,154;1,217;1,115;0,97;0,987;1,176
P24583;Protein kinase C-like 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PKC1 PE=1 SV=3;9;10;12;10;131,4;1,004;0,979;0,732;1,188;1,069;0,821
P47150;37S ribosomal protein S7, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSM7 PE=1 SV=1;34;9;12;9;27,8;1,036;1,035;0,846;0,976;0,815;0,648
P39990;13 kDa ribonucleoprotein-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNU13 PE=1 SV=1;37;5;12;5;13,6;1,211;1,311;1,451;1,169;1,134;1,359
P35732;RNA polymerase II degradation factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DEF1 PE=1 SV=1;10;7;12;7;83,9;1,471;1,461;0,772;1,239;1,243;0,584
